id_registro,batalha,efeito_buff,personagem_1,personagem_2,personagem_3,personagem_4,tentativa_1,tentativa_2,tentativa_3,pontuacao_media,pontuacao_maior,desvio_padrao,métrica_destaque
e_1785894213670_5360,1ª Batalha,Grande Retórica,Castorice,Amy (Recordação),Tribbie,Hyacine,37480.0,35360.0,36480.0,36440.0,,865.95,37480.0
e_1785935860679_4341,1ª Batalha,Tagarela,Aglaea,Sunday,Robin,Huohuo,12280.0,10080.0,12400.0,11586.67,,1066.5,12400.0
e_1785938552028_9117,1ª Batalha,Tagarela,Rappa,A Dália,Fugue,Gallagher,21600.0,22920.0,22480.0,22333.33,,548.78,22920.0
e_1785955219639_6058,1ª Batalha,Provocação,Kafka,Cisne Negro,Ruan Mei,Dan Heng (Preservação),25200.0,25200.0,25720.0,25373.33,,245.13,25720.0
e_1785956447521_8369,1ª Batalha,Grande Retórica,Welt,Sunday,Tribbie,Dan Heng (Preservação),27000.0,27000.0,28200.0,27400.0,,565.69,28200.0
e_1785957890027_1089,1ª Batalha,Grande Retórica,Anaxa,Cerydra,Sunday,Dan Heng (Preservação),19200.0,19280.0,24000.0,20826.67,,2244.12,24000.0
e_1785959142617_6574,1ª Batalha,Grande Retórica,A Herta,Mortenax Blade,Tribbie,Hyacine,40000.0,40000.0,40000.0,40000.0,,0.0,40000.0
e_1785960914177_2673,1ª Batalha,Grande Retórica,Saber,Gilgamesh,Mortenax Blade,Huohuo,36720.0,36960.0,38640.0,37440.0,,854.17,38640.0
e_1785962052407_6177,1ª Batalha,Grande Retórica,Archer,Robin,Tribbie,Dan Heng (Preservação),27160.0,27720.0,27720.0,27533.33,,263.99,27720.0
e_1785963332995_7761,1ª Batalha,Grande Retórica,A Herta,Gilgamesh,Himeko,Hyacine,17760.0,17760.0,17760.0,17760.0,,0.0,17760.0
